CÓDIGO,MARCA,PRODUCTO,COLOR,USO,DESCRIPCIÓN,PRECIO,DESCUENTO,STOCK,Categoria
248655,RUST-OLEUM,AU Automotive Acabado Metálico Aluminio Brill. 340G,,AUTOMOTOR,ACABADO METÁLICO DE INTERIOR. Rust-Oleum® Automotive® Metallic está formulado con auténticas escamas de planchas metálicas. y deja un acabado espejado que resiste la decoloración y el desgaste. aún expuesto a la luz solar y a condiciones climáticas rigurosas. Es ideal para resaltar partes metálicas del interior del automóvil. Acabado Reflectante Brillante. Pinta en cualquier angulo. Para un mejor resultado aplicar dos capas delgadas del producto.,1748.21,10,2,Aerosoles
313548,RUST-OLEUM,AU Automotive Llantas-Rines Transparente 312G,,AUTOMOTOR,Esmalte en Aerosoles ultra resistente para pintar llantas. Para aplicar sobre el Rust-Oleum Automotive Llantas para dejar un acabado protector de alto brillo transparente. Recomendado para usar en las tazas plásticas de aluminio o acero de las ruedas del automóvil. Con un Aerosoles te alcanza para las 4 tazas de su lado exterior. Depende de la superficie a aplicar y el desperdicio que provoque su aplicación. Fórmula Stops Rust que detiene el óxido.,1887.36,10,1,Aerosoles
313545,RUST-OLEUM,AU Automotive Motor Negro Brillante 340G,,AUTOMOTOR,Rust-Oleum® Automotive® Engine es un revestimiento durable que deja un acabado suave y de alto brillo. Soporta temperaturas intermitentes de hasta 260 °C y resiste la acción del aceite. la gasolina. grasa. óxido. sal. humedad y solventes. Es ideal para personalizar el motor de cualquier automóvil. Impide la formación de óxido,1768.44,10,2,Aerosoles
313534,RUST-OLEUM,AU Automotive Peel Coat Azul Metálico 312G,,AUTOMOTOR,Rust-Oleum® Automotive® Peel Coat es una Pinturas temporaria removible diseñada para personalizar diferentes partes del vehículo como ruedas. capós y más. Provee un acabado mate suave de gran espesor que se puede lavar. Es ideal para aplicar sobre superficies de metal. plástico y vidrio. Se recomienda la extracción en tres meses. Deje secar cada capa unos 5 minutos hasta alcanzar un acabado mate entre capas.,2438.34,10,6,Aerosoles
313533,RUST-OLEUM,AU Automotive Peel Coat Grafito Metálico 312G,,AUTOMOTOR,Rust-Oleum® Automotive® Peel Coat es una Pinturas temporaria removible diseñada para personalizar diferentes partes del vehículo como ruedas. capós y más. Provee un acabado mate suave de gran espesor que se puede lavar. Es ideal para aplicar sobre superficies de metal. plástico y vidrio. Se recomienda la extracción en tres meses. Deje secar cada capa unos 5 minutos hasta alcanzar un acabado mate entre capas.,2438.34,10,2,Aerosoles
284317,RUST-OLEUM,AU Automotive Peel Coat Rosa Mate 312G,,AUTOMOTOR,Rust-Oleum® Automotive® Peel Coat es una Pinturas temporaria removible diseñada para personalizar diferentes partes del vehículo como ruedas. capós y más. Provee un acabado mate suave de gran espesor que se puede lavar. Es ideal para aplicar sobre superficies de metal. plástico y vidrio. Se recomienda la extracción en tres meses. Deje secar cada capa unos 5 minutos hasta alcanzar un acabado mate entre capas.,2438.34,10,5,Aerosoles
335342,RUST-OLEUM,CH Chalked Aerosoles Azul Sereno 340G,,CHALKED,Rust-Oleum® Chalked Pinturas Tizada en Aerosoles para Muebles es una Pinturas base agua que deja un acabado tizado ultra mate y posee una excelente adherencia y cobertura. Cubre en una sola capa sin necesidad de preparación o imprimación previa en la mayoría de las superficies. Es ideal para transformar y rejuvenecer muebles y objetos de decoración. Se puede dejar como acabado final o desgastar para darle un look vintage al objeto pintado. Fácil de aplicar. Cuando seca deja una acabado tizado aterciopelado. Fácil de desgastar para darle un look vintage. Lijable.,1673.93,10,10,Aerosoles
335348,RUST-OLEUM,CH Chalked Aerosoles Crema Gasa 340G,,CHALKED,Rust-Oleum® Chalked Pinturas Tizada en Aerosoles para Muebles es una Pinturas base agua que deja un acabado tizado ultra mate y posee una excelente adherencia y cobertura. Cubre en una sola capa sin necesidad de preparación o imprimación previa en la mayoría de las superficies. Es ideal para transformar y rejuvenecer muebles y objetos de decoración. Se puede dejar como acabado final o desgastar para darle un look vintage al objeto pintado. Fácil de aplicar. Cuando seca deja una acabado tizado aterciopelado. Fácil de desgastar para darle un look vintage. Lijable.,1673.93,10,4,Aerosoles
335344,RUST-OLEUM,CH Chalked Aerosoles Gris Campestre 340G,,CHALKED,Rust-Oleum® Chalked Pinturas Tizada en Aerosoles para Muebles es una Pinturas base agua que deja un acabado tizado ultra mate y posee una excelente adherencia y cobertura. Cubre en una sola capa sin necesidad de preparación o imprimación previa en la mayoría de las superficies. Es ideal para transformar y rejuvenecer muebles y objetos de decoración. Se puede dejar como acabado final o desgastar para darle un look vintage al objeto pintado. Fácil de aplicar. Cuando seca deja una acabado tizado aterciopelado. Fácil de desgastar para darle un look vintage. Lijable.,1673.93,10,22,Aerosoles
335346,RUST-OLEUM,CH Chalked Aerosoles Gris Envejecido 340G,,CHALKED,Rust-Oleum® Chalked Pinturas Tizada en Aerosoles para Muebles es una Pinturas base agua que deja un acabado tizado ultra mate y posee una excelente adherencia y cobertura. Cubre en una sola capa sin necesidad de preparación o imprimación previa en la mayoría de las superficies. Es ideal para transformar y rejuvenecer muebles y objetos de decoración. Se puede dejar como acabado final o desgastar para darle un look vintage al objeto pintado. Fácil de aplicar. Cuando seca deja una acabado tizado aterciopelado. Fácil de desgastar para darle un look vintage. Lijable.,1673.93,10,24,Aerosoles
